City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
458,enchanted hills,35.3368,-106.593,281.51,48,93,7.6,US,1706983834
459,dawei,14.0833,98.2,294.59,82,3,1.14,MM,1706983835
460,mari-turek,56.7895,49.6235,265.43,95,100,3.72,RU,1706983836
461,kharan,28.5833,65.4167,289.04,32,92,6.21,PK,1706983837
462,zouerate,22.7187,-12.4521,297.32,10,37,4.86,MR,1706983838
463,alnashi,56.1874,52.4792,267.13,95,100,6.32,RU,1706983838
464,atafu village,-8.5421,-172.5159,302.08,76,100,8.64,TK,1706983839
465,blagoveshchenka,52.8333,79.8667,267.32,95,100,7.51,RU,1706983840
466,rawson,-43.3002,-65.1023,292.46,26,5,11.12,AR,1706983841
467,la mitra,8.8422,-79.7867,306.08,61,69,2.92,PA,1706983841
468,cabedelo,-6.9811,-34.8339,304.52,62,73,6.69,BR,1706983842
469,dali,25.7,100.1833,276.46,89,2,2.69,CN,1706983843
470,shantobe,52.4581,68.1839,270.45,95,100,6.69,KZ,1706983843
471,juankoski,63.0667,28.35,271.13,91,73,2.73,FI,1706983844
472,antsiranana,-12.2787,49.2917,298.44,90,98,0.51,MG,1706983845
473,suncho corral,-27.9336,-63.4294,318.47,13,66,5.15,AR,1706983845
474,menongue,-14.6585,17.691,293.6,86,100,1.2,AO,1706983846
475,sabzevar,36.2126,57.6819,274.25,80,51,1.16,IR,1706983847
476,kolonia town,6.964,158.206,300.15,89,100,3.09,FM,1706983847
477,brisas de zicatela,15.8369,-97.0419,302.44,70,75,7.72,MX,1706983848
478,tolanaro,-25.0319,46.9987,298.19,83,20,8.23,MG,1706983370
479,galliano,29.4422,-90.2992,289.15,92,100,7.74,US,1706983850
480,bereznik,62.8551,42.7072,256.84,100,91,2.13,RU,1706983850
481,worland,44.0169,-107.9554,278.79,82,75,3.09,US,1706983851
482,kutum,14.2,24.6667,290.84,21,45,4.94,SD,1706983852
